Neuron_ID,Diff_Mag,Ratio_Mag,Diff_Freq,FT_Mag_P,FT_Mag_C,Base_Mag_P,Base_Mag_C,FT_Freq_P,FT_Freq_C,Base_Freq_P,Base_Freq_C
2055,0.002100633457303047,1.0816652320571816,0.006612420082092285,0.027809882536530495,0.025709249079227448,0.029909692704677582,0.028267474845051765,0.38018935918807983,0.37357693910598755,0.38186854124069214,0.3770776391029358
2056,0.00831384165212512,8.527403007192984,0.023992478847503662,0.009417185559868813,0.0011033439077436924,0.009082373231649399,0.0009848253102973104,0.41434234380722046,0.3903498649597168,0.41282445192337036,0.39002731442451477
2057,0.0019674215000122786,0.35484147850274683,-0.0004648566246032715,-0.0010815449059009552,-0.0030489664059132338,0.0596647672355175,0.060609061270952225,0.3242068886756897,0.32467174530029297,0.5113558769226074,0.5135093927383423
2058,-0.0005331598222255707,0.9861999808239238,0.0005787014961242676,0.038173019886016846,0.038706179708242416,0.08427255600690842,0.08786062896251678,0.43842020630836487,0.4378415048122406,0.5931238532066345,0.5993947386741638
2059,0.008184455335140228,1.1827012647766002,0.017332643270492554,0.05297490954399109,0.04479045420885086,0.2042558342218399,0.20582206547260284,0.43597257137298584,0.4186399281024933,0.6929265260696411,0.6861149072647095
2060,0.0005435645580291748,0.9843622824416126,0.00712469220161438,-0.034153327345848083,-0.03469689190387726,-0.03218018263578415,-0.032825861126184464,0.19637028872966766,0.18924559652805328,0.20231860876083374,0.19486185908317566
2061,0.0021045319736003876,1.0708343228298438,0.0011574029922485352,0.0318000391125679,0.029695507138967514,0.016366763040423393,0.015219193883240223,0.3724100589752197,0.3712526559829712,0.34277284145355225,0.33992674946784973
2062,-0.006838991306722164,1.7027112537467903,-0.011317923665046692,-0.01657370664179325,-0.009734715335071087,-0.006318232975900173,0.0008369973511435091,0.2285500019788742,0.2398679256439209,0.25063562393188477,0.2615266442298889
2063,-0.0016009435057640076,0.9488466102598659,-0.0027796924114227295,0.029714524745941162,0.03131546825170517,0.0779222622513771,0.08059896528720856,0.4361717998981476,0.4389514923095703,0.6136536002159119,0.6110541820526123
2064,-0.003357063978910446,1.0543088504497122,-0.004800394177436829,-0.06519078463315964,-0.06183372065424919,-0.061396270990371704,-0.05798458680510521,0.13332954049110413,0.13812993466854095,0.14199110865592957,0.14643099904060364
2065,-0.0018840506672859192,1.0214927597298322,-0.00501859188079834,-0.0895913615822792,-0.08770731091499329,-0.059219833463430405,-0.05440262705087662,0.15387825667858124,0.15889684855937958,0.21266886591911316,0.2216150462627411
2066,0.0029729753732681274,0.9412381641496672,0.0048857927322387695,-0.047604650259017944,-0.05057762563228607,0.020692825317382812,0.015952717512845993,0.2686513364315033,0.2637655436992645,0.45684385299682617,0.4327280521392822
2067,-0.000347016379237175,0.9813492557545842,-0.0024381279945373535,0.01831163465976715,0.018658651039004326,0.0485457107424736,0.05235648527741432,0.35133954882621765,0.353777676820755,0.4730760157108307,0.4931314289569855
